S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
5682,Hold VST Industries; target of Rs 3900: ICICI Direct ,2019-05-07 14:21:00,ICICI Direct,VST Industries,VSTIND,3900.0,Hold,2019-05-07,3453.3,2019-10-15,3900.0,Complete
5683,Hold LIC Housing Finance; target of Rs 540: ICICI Direct ,2019-05-07 14:21:00,ICICI Direct,LIC Housing Finance,LICHSGFIN,540.0,Hold,2019-05-07,487.0,2019-05-23,540.0,Complete
5684,Hold Sunteck Realty; target of Rs 520: ICICI Direct ,2019-05-07 14:19:00,ICICI Direct,Sunteck Realty,SUNTECK,520.0,Hold,2019-05-07,473.1,2019-05-14,425.79,Complete
5685,Hold NIIT Technologies; target of Rs 1395: ICICI Direct ,2019-05-07 14:17:00,ICICI Direct,NIIT Technologies,LTTS,1395.0,Hold,,,,,Not Attempted
5686,Buy Kewal Kiran Clothing; target of Rs 1500: ICICI Direct ,2019-05-07 14:15:00,ICICI Direct,Kewal Kiran Clothing,KKCL,1500.0,Buy,2019-05-07,1308.0,2019-06-13,1177.2,Complete
5687,Buy Sunteck Realty; target of Rs 569: Arihant Capital ,2019-05-07 13:59:00,Arihant Capital,Sunteck Realty,SUNTECK,569.0,Buy,2019-05-07,473.1,2019-05-14,425.79,Complete
5688,Buy Federal Bank; target of Rs 126: Arihant Capital ,2019-05-07 13:58:00,Arihant Capital,Federal Bank,FEDERALBNK,126.0,Buy,2019-05-07,100.95,2019-07-30,90.855,Complete
5689,Hold NIIT Technologies; target of Rs 1416: Arihant Capital ,2019-05-07 13:51:00,Arihant Capital,NIIT Technologies,LTTS,1416.0,Hold,,,,,Not Attempted
5690,Accumulate NIIT Technologies; target of Rs 1400: Dolat Capital ,2019-05-07 13:46:00,Dolat Capital,NIIT Technologies,LTTS,1400.0,Accumulate,,,,,Not Attempted
5691,Accumulate ICICI Bank; target of Rs 450: Dolat Capital ,2019-05-07 13:44:00,Dolat Capital,ICICI Bank,ICICIBANK,450.0,Accumulate,2019-05-07,398.0,2019-09-23,450.0,Complete
5692,Buy Federal Bank; target of Rs 118: Sharekhan ,2019-05-07 13:39:00,Sharekhan,Federal Bank,FEDERALBNK,118.0,Buy,2019-05-07,100.95,2019-07-30,90.855,Complete
5693,Buy Marico; target of Rs 425: Sharekhan ,2019-05-07 13:38:00,Sharekhan,Marico,MARICO,425.0,Buy,2019-05-07,351.7,2020-01-31,316.53,Complete
5694,Buy ICICI Bank; target of Rs 450: Sharekhan ,2019-05-07 13:32:00,Sharekhan,ICICI Bank,ICICIBANK,450.0,Buy,2019-05-07,398.0,2019-09-23,450.0,Complete
5695,Hold LIC Housing Finance; target of Rs 550: Sharekhan ,2019-05-07 13:31:00,Sharekhan,LIC Housing Finance,LICHSGFIN,550.0,Hold,2019-05-07,487.0,2019-05-23,550.0,Complete
5696,Buy Marico; target of Rs 425: Motilal Oswal ,2019-05-07 12:52:00,Motilal Oswal,Marico,MARICO,425.0,Buy,2019-05-07,351.7,2020-01-31,316.53,Complete
5697,Buy ICICI Bank; target of Rs 470: Motilal Oswal ,2019-05-07 12:46:00,Motilal Oswal,ICICI Bank,ICICIBANK,470.0,Buy,2019-05-07,398.0,2019-10-25,470.0,Complete
5698,Buy Federal Bank; target of Rs 112: Prabhudas Lilladher ,2019-05-06 17:56:00,Prabhudas Lilladher,Federal Bank,FEDERALBNK,112.0,Buy,2019-05-07,100.95,2019-07-30,90.855,Complete
5699,Buy NIIT Technologies; target of Rs 1539: Prabhudas Lilladher ,2019-05-06 17:49:00,Prabhudas Lilladher,NIIT Technologies,LTTS,1539.0,Buy,,,,,Not Attempted
5700,Accumulate LIC Housing Finance; target of Rs 597: Prabhudas Lilladher ,2019-05-06 17:32:00,Prabhudas Lilladher,LIC Housing Finance,LICHSGFIN,597.0,Accumulate,2019-05-07,487.0,2019-08-22,438.3,Complete
5701,Buy Larsen and Toubro Infotech; target of Rs 1940: ICICI Direct ,2019-05-06 17:14:00,ICICI Direct,Larsen and Toubro Infotech,LT,1940.0,Buy,2019-05-07,1357.4,2020-02-26,1221.66,Complete
5702,Buy Dabur India; target of Rs 450: ICICI Direct ,2019-05-06 17:12:00,ICICI Direct,Dabur India,DABUR,450.0,Buy,2019-05-07,378.55,2019-08-30,450.0,Complete
5703,Buy Indian Hotels; target of Rs 175: ICICI Direct ,2019-05-06 16:47:00,ICICI Direct,Indian Hotels,INDHOTEL,175.0,Buy,2019-05-07,153.3,2019-08-02,137.97000000000003,Complete
5704,Hold Ambuja Cement; target of Rs 245: ICICI Direct ,2019-05-06 16:31:00,ICICI Direct,Ambuja Cement,AMBUJACEM,245.0,Hold,2019-05-07,221.25,2019-07-31,199.125,Complete
5705,Hold Greaves Cotton; target of Rs 150: ICICI Direct ,2019-05-06 16:14:00,ICICI Direct,Greaves Cotton,GREAVESCOT,150.0,Hold,2019-05-07,148.4,2019-05-29,150.0,Complete
5706,Buy Larsen and Toubro Infotech; target of Rs 1981: Prabhudas Lilladher ,2019-05-06 16:08:00,Prabhudas Lilladher,Larsen and Toubro Infotech,LT,1981.0,Buy,2019-05-07,1357.4,2020-02-26,1221.66,Complete
5707,Buy Federal Bank; target of Rs 120: Motilal Oswal ,2019-05-06 16:06:00,Motilal Oswal,Federal Bank,FEDERALBNK,120.0,Buy,2019-05-07,100.95,2019-07-30,90.855,Complete
5708,Buy Tata Chemicals; target of Rs 703: Motilal Oswal ,2019-05-06 16:04:00,Motilal Oswal,Tata Chemicals,TATACHEM,703.0,Buy,2019-05-07,604.0,2019-08-13,543.6,Complete
5709,Buy Birla Corporation; target of Rs 583: Motilal Oswal ,2019-05-06 16:00:00,Motilal Oswal,Birla Corporation,BIRLACORPN,583.0,Buy,2019-05-07,528.0,2019-05-20,583.0,Complete
